,constructorId,constructorRef,name,nationality,url,img_urls
151,153,cisitalia,Cisitalia,Italian,http://en.wikipedia.org/wiki/Cisitalia,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Emblem_Cisitalia.JPG/220px-Emblem_Cisitalia.JPG
152,154,lago,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Talbot_brand_logo_1954.png/150px-Talbot_brand_logo_1954.png
153,155,hall,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor),
154,156,marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor),
155,157,langley,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor),
156,158,rae,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport),
157,159,olson,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor),
158,160,wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth,
159,161,adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor),
160,162,snowberger,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger,
161,163,milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano,http://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/23px-Flag_of_Italy.svg.png
162,164,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/HRT_F1_TEAM_2012.svg/220px-HRT_F1_TEAM_2012.svg.png
163,167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,http://upload.wikimedia.org/wikipedia/en/4/47/Cooper_Car_Company.png
164,166,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing,http://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Virgin_Racing_logo.png/220px-Virgin_Racing_logo.png
165,168,cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,http://upload.wikimedia.org/wikipedia/en/4/47/Cooper_Car_Company.png
166,169,cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,http://upload.wikimedia.org/wikipedia/en/4/47/Cooper_Car_Company.png
167,170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,http://upload.wikimedia.org/wikipedia/en/4/47/Cooper_Car_Company.png
168,171,cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,http://upload.wikimedia.org/wikipedia/en/4/47/Cooper_Car_Company.png
169,172,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus,http://upload.wikimedia.org/wikipedia/commons/9/9e/TeamLotus.jpg
170,173,lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus,http://upload.wikimedia.org/wikipedia/commons/9/9e/TeamLotus.jpg
171,174,de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Detomaso_automobili_logo.png/120px-Detomaso_automobili_logo.png
172,175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Detomaso_automobili_logo.png/120px-Detomaso_automobili_logo.png
173,176,lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus,http://upload.wikimedia.org/wikipedia/commons/9/9e/TeamLotus.jpg
174,177,lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus,http://upload.wikimedia.org/wikipedia/commons/9/9e/TeamLotus.jpg
175,178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,http://upload.wikimedia.org/wikipedia/en/4/47/Cooper_Car_Company.png
