Unnamed: 0.1,Unnamed: 0,circuitId,circuitRef,name,location,country,lat,lng,alt,url,img_urls
17,17,18,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_%28AKA_Interlagos%29_track_map.svg/260px-Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_%28AKA_Interlagos%29_track_map.svg.png
18,18,19,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,223,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,http://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Indianapolis_Motor_Speedway_logo.svg/220px-Indianapolis_Motor_Speedway_logo.svg.png
19,19,20,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,578,http://en.wikipedia.org/wiki/N%C3%BCrburgring,http://upload.wikimedia.org/wikipedia/en/thumb/4/49/Nurburgring.svg/230px-Nurburgring.svg.png
20,20,21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,http://upload.wikimedia.org/wikipedia/en/thumb/5/50/EnzoEDinoFerrariImolaLogo.png/200px-EnzoEDinoFerrariImolaLogo.png
21,21,22,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,45,http://en.wikipedia.org/wiki/Suzuka_Circuit,http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Suzuka_Circuit_logo_%282022%29.svg/220px-Suzuka_Circuit_logo_%282022%29.svg.png
22,22,24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Yas_Marina_Circuit.png/250px-Yas_Marina_Circuit.png
23,23,25,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,8,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez_Circuito_N%C2%B0_6_por_Senna.svg/250px-Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez_Circuito_N%C2%B0_6_por_Senna.svg.png
24,24,26,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417,37,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez,http://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Version-monocromo-negativo---PNG_rectortada.svg/275px-Version-monocromo-negativo---PNG_rectortada.svg.png
25,25,27,estoril,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417,130,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Estoril_track_map.svg/250px-Estoril_track_map.svg.png
26,26,28,okayama,Okayama International Circuit,Okayama,Japan,34.915,134.221,266,http://en.wikipedia.org/wiki/TI_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Circuit_TI_%28Aida%29.png/250px-Circuit_TI_%28Aida%29.png
27,27,29,adelaide,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,58,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Adelaide_%28short_route%29.svg/240px-Adelaide_%28short_route%29.svg.png
28,28,30,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,1460,http://en.wikipedia.org/wiki/Kyalami,http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Kyalami_16.png/220px-Kyalami_16.png
29,29,31,donington,Donington Park,Castle Donington,UK,52.8306,-1.37528,88,http://en.wikipedia.org/wiki/Donington_Park,http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Donington_Park_logo.png/230px-Donington_Park_logo.png
30,30,32,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2227,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,http://upload.wikimedia.org/wikipedia/en/thumb/0/08/Autodromo_Hermanos_Rodriguez_2017_logo.gif/240px-Autodromo_Hermanos_Rodriguez_2017_logo.gif
31,31,33,phoenix,Phoenix street circuit,Phoenix,USA,33.4479,-112.075,345,http://en.wikipedia.org/wiki/Phoenix_street_circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Phoenix_Grand_Prix_Route_-_1989%2C_1990.svg/250px-Phoenix_Grand_Prix_Route_-_1989%2C_1990.svg.png
32,32,34,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Le_Castellet_2019_all_layouts.svg/300px-Le_Castellet_2019_all_layouts.svg.png
33,33,35,yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,0,http://en.wikipedia.org/wiki/Korean_International_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Korea_international_circuit_v3.svg/260px-Korea_international_circuit_v3.svg.png
34,34,36,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,1126,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Jacarepagu%C3%A1-short_circuit.png/220px-Jacarepagu%C3%A1-short_circuit.png
35,35,37,detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,177,http://en.wikipedia.org/wiki/Detroit_street_circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/TrackMap_Detroit-2023.png/220px-TrackMap_Detroit-2023.png
36,36,38,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,145,http://en.wikipedia.org/wiki/Brands_Hatch,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Logo_Brands_Hatch_Circuit.svg/130px-Logo_Brands_Hatch_Circuit.svg.png
37,37,39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,6,http://en.wikipedia.org/wiki/Circuit_Zandvoort,http://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Zandvoort_Circuit.png/250px-Zandvoort_Circuit.png
38,38,40,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,36,http://en.wikipedia.org/wiki/Zolder,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Zolder.svg/220px-Zolder.svg.png
39,39,41,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,484,http://en.wikipedia.org/wiki/Dijon-Prenois,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Circuit_Dijon-Prenois_logo.svg/200px-Circuit_Dijon-Prenois_logo.svg.png
40,40,42,dallas,Fair Park,Dallas,USA,32.7774,-96.7587,139,http://en.wikipedia.org/wiki/Fair_Park,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Dallas_Fair_Park_Esplanade.jpg/240px-Dallas_Fair_Park_Esplanade.jpg
41,41,43,long_beach,Long Beach,California,USA,33.7651,-118.189,12,"http://en.wikipedia.org/wiki/Long_Beach,_California",http://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Long_beach3_%28cropped%29.jpg/268px-Long_beach3_%28cropped%29.jpg
42,42,44,las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,639,"http://en.wikipedia.org/wiki/Las_Vegas,_Nevada",http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/DowntownLasVegas.jpg/268px-DowntownLasVegas.jpg
